,ene,err,tau,i,dmc_type,Jas,delta
0,-5.804941497844993,0.050938386607904076,0.1,1,DMCdla5,Jopt,0.0280980783427367
1,-5.36853223034268,0.03844933514996106,0.03,1,DMCdla5,Jopt,0.0280980783427367
2,-5.218785099343222,0.042957561833672955,0.01,1,DMCdla5,Jopt,0.0280980783427367
3,-5.200484519442398,0.03973159228046539,0.003,1,DMCdla5,Jopt,0.0280980783427367
4,-5.183558826243825,0.042793618471178706,0.001,1,DMCdla5,Jopt,0.0280980783427367
5,-5.118130421044043,0.04147282691756696,0.003,1,DMCdla5,Jdimer,0.0280980783427367
6,-5.246655602943065,0.04375218637244847,0.01,1,DMCdla5,Jdimer,0.0280980783427367
7,-5.4348200625427125,0.041267029251456436,0.03,1,DMCdla5,Jdimer,0.0280980783427367
8,-6.039873992242065,0.04990650958714452,0.1,1,DMCdla5,Jdimer,0.0280980783427367
9,-5.8038748801136535,0.039057214090476106,0.003,2,DMCdla5,Jopt,-0.02911488418612862
10,-5.835077056312002,0.043269370830792395,0.01,2,DMCdla5,Jopt,-0.02911488418612862
11,-5.897703149214067,0.039994621861107915,0.03,2,DMCdla5,Jopt,-0.02911488418612862
12,-5.919311315514278,0.04870041774970864,0.1,2,DMCdla5,Jopt,-0.02911488418612862
13,-6.31401665651174,0.047661868902438224,0.1,2,DMCdla5,Jdimer,-0.02911488418612862
14,-5.950912982514637,0.041785348268991655,0.03,2,DMCdla5,Jdimer,-0.02911488418612862
15,-5.860670844213018,0.04309031620072753,0.01,2,DMCdla5,Jdimer,-0.02911488418612862
16,-5.800836994814745,0.03793525562259247,0.003,2,DMCdla5,Jdimer,-0.02911488418612862
17,-7.155205987586669,0.038538084477005574,0.003,3,DMCdla5,Jopt,0.019760069488256704
18,-7.1779894945866545,0.04285464374765821,0.01,3,DMCdla5,Jopt,0.019760069488256704
19,-7.368199230186292,0.039290673473800886,0.03,3,DMCdla5,Jopt,0.019760069488256704
20,-7.935303231390208,0.04500305357256245,0.1,3,DMCdla5,Jopt,0.019760069488256704
21,-8.082168510687552,0.043468338914360076,0.1,3,DMCdla5,Jdimer,0.019760069488256704
22,-7.398768610986735,0.03977190328324664,0.03,3,DMCdla5,Jdimer,0.019760069488256704
23,-7.129801864486581,0.043125112829904194,0.01,3,DMCdla5,Jdimer,0.019760069488256704
24,-7.138498730386345,0.03963202638063691,0.003,3,DMCdla5,Jdimer,0.019760069488256704
25,-8.55284060138365,0.056613522730246786,0.003,4,DMCdla5,Jopt,0.055331018280412536
26,-8.432449849882687,0.06373211105498906,0.01,4,DMCdla5,Jopt,0.055331018280412536
27,-8.505232904677541,0.05941373587831063,0.03,4,DMCdla5,Jopt,0.055331018280412536
28,-8.998813206184423,0.06510082030779857,0.1,4,DMCdla5,Jopt,0.055331018280412536
29,-6.235945230069774,0.06979869916913434,0.1,5,DMCdla5,Jopt,-0.019713634232175536
30,-6.134622144167224,0.05684853433130305,0.03,5,DMCdla5,Jopt,-0.019713634232175536
31,-6.060094951066276,0.06684198466034161,0.02,5,DMCdla5,Jopt,-0.019713634232175536
32,-6.151773271267302,0.06034620643786844,0.01,5,DMCdla5,Jopt,-0.019713634232175536
33,-5.886594662468269,0.05720670057674736,0.006,5,DMCdla5,Jopt,-0.019713634232175536
34,-5.92015291696589,0.054768188306371854,0.003,5,DMCdla5,Jopt,-0.019713634232175536
35,-5.996431244766427,0.05012613180305729,0.003,5,DMCdla5,Jdimer,-0.019713634232175536
36,-6.175090343469492,0.05925293689354493,0.01,5,DMCdla5,Jdimer,-0.019713634232175536
37,-6.174753978568333,0.05994098543102593,0.03,5,DMCdla5,Jdimer,-0.019713634232175536
38,-6.7904234176676255,0.06764325664732704,0.1,5,DMCdla5,Jdimer,-0.019713634232175536
39,-7.7634786619255465,0.04353293489397392,0.003,6,DMCdla5,Jopt,0.13955032942612888
40,-7.888047732623818,0.04772995358159962,0.01,6,DMCdla5,Jopt,0.13955032942612888
41,-7.923650360124157,0.04751852232205648,0.03,6,DMCdla5,Jopt,0.13955032942612888
42,-8.097791550928378,0.05346258409950292,0.1,6,DMCdla5,Jopt,0.13955032942612888
43,-8.404429676826112,0.051714817794463075,0.1,6,DMCdla5,Jdimer,0.13955032942612888
44,-7.941141742025138,0.04827208944808079,0.03,6,DMCdla5,Jdimer,0.13955032942612888
45,-7.837583386824917,0.047449861813319956,0.01,6,DMCdla5,Jdimer,0.13955032942612888
46,-7.826087617824669,0.042703040328612885,0.003,6,DMCdla5,Jdimer,0.13955032942612888
47,-8.636322346308589,0.06599100247043233,0.01,7,DMCdla5,Jopt,0.12924528690928128
48,-8.688292304206698,0.062178649260764614,0.03,7,DMCdla5,Jopt,0.12924528690928128
49,-9.078200928106526,0.06793223157075043,0.1,7,DMCdla5,Jopt,0.12924528690928128
50,-5.2919406129640265,0.042160133675449254,0.003,8,DMCdla5,Jopt,0.029304703864909243
51,-5.256808961265051,0.042968411029934414,0.01,8,DMCdla5,Jopt,0.029304703864909243
52,-5.370619663965044,0.0398318592547215,0.03,8,DMCdla5,Jopt,0.029304703864909243
53,-5.562022618965784,0.04829560312177857,0.1,8,DMCdla5,Jopt,0.029304703864909243
54,-5.956727959963246,0.04724815699234648,0.1,8,DMCdla5,Jdimer,0.029304703864909243
55,-5.423829497265615,0.04162958760107834,0.03,8,DMCdla5,Jdimer,0.029304703864909243
56,-5.282402749166067,0.04278809699698555,0.01,8,DMCdla5,Jdimer,0.029304703864909243
57,-5.288902727665118,0.04112291962122703,0.003,8,DMCdla5,Jdimer,0.029304703864909243
58,-3.0581475000344653,0.04792250213090101,0.003,9,DMCdla5,Jopt,-0.07389249426341848
59,-3.1949184572367813,0.04867571140858584,0.01,9,DMCdla5,Jopt,-0.07389249426341848
60,-3.2746185531359515,0.04873408775135281,0.03,9,DMCdla5,Jopt,-0.07389249426341848
61,-3.5153239659375686,0.05220038618563691,0.1,9,DMCdla5,Jopt,-0.07389249426341848
62,-3.821962091835303,0.05040887619108093,0.1,9,DMCdla5,Jdimer,-0.07389249426341848
63,-3.292109935036933,0.04946914154266565,0.03,9,DMCdla5,Jdimer,-0.07389249426341848
64,-3.144454111437881,0.048401092945649885,0.01,9,DMCdla5,Jdimer,-0.07389249426341848
65,-3.120756455933588,0.04716989975938446,0.003,9,DMCdla5,Jdimer,-0.07389249426341848
66,-4.444129814590269,0.06088922425087805,0.1,10,DMCdla5,Jopt,-0.06891419921157649
