,name,Hobza_1,Hobza_2,Martin_newBronze,Martin_Silver,Martin_Gold,Martin_CCSDT(Q)
1,01 Water-Water,4.92,5.01,4.915,4.982,4.979,
2,02 Water-MeOH,5.59,5.7,5.589,5.666,5.666,
3,03 Water-MeNH2,6.91,7.04,6.894,6.986,6.985,
4,04 Water-Peptide,8.1,8.22,8.089,8.183,,
5,05 MeOH-MeOH,5.76,5.85,5.773,5.822,5.824,
6,06 MeOH-MeNH2,7.55,7.67,7.558,7.617,7.625,
7,07 MeOH-Peptide,8.23,8.34,8.255,8.307,,
8,08 MeOH-Water,5.01,5.09,5.023,5.064,5.065,
9,09 MeNH2-MeOH,3.06,3.11,3.029,3.087,3.088,
10,10 MeNH2-MeNH2,4.16,4.22,4.127,4.184,4.189,
11,11 MeNH2-Peptide,5.42,5.48,5.387,5.436,,
12,12 MeNH2-Water,7.27,7.4,7.259,7.349,7.354,
13,13 Peptide-MeOH,6.19,6.28,6.213,6.251,,
14,14 Peptide-MeNH2,7.45,7.56,7.478,7.516,,
15,15 Peptide-Peptide,8.63,8.72,8.673,8.689,,
16,16 Peptide-Water,5.12,5.2,5.146,5.18,,
17,17 Uracil-Uracil BP,17.18,17.45,17.432,17.407,,
18,18 Water-Pyridine,6.86,6.97,6.872,6.927,,
19,19 MeOH-Pyridine,7.41,7.51,7.451,7.467,7.464,
20,20 AcOH-AcOH,19.09,19.41,19.328,19.361,19.364,
21,21 AcNH2-AcNH2,16.26,16.52,16.441,16.474,16.468,
22,22 AcOH-Uracil,19.49,19.78,19.732,19.736,,
23,23 AcNH2-Uracil,19.19,19.47,19.419,19.42,,
24,24 Benzene-Benzene pi-pi,2.82,2.72,2.634,2.685,,2.55
25,25 Pyridine-Pyridine pi-pi,3.9,3.8,3.716,3.751,,
26,26 Uracil-Uracil pi-pi,9.83,9.75,9.765,9.672,,
27,27 Benzene-Pyridine pi-pi,3.44,3.34,3.265,3.3,,
28,28 Benzene-Uracil pi-pi,5.71,5.59,5.588,5.517,,
29,29 Pyridine-Uracil pi-pi,6.82,6.7,6.698,6.629,,
30,30 Benzene-Ethene,1.43,1.36,1.31,1.358,1.348,1.234
31,31 Uracil-Ethene,3.38,3.33,3.3,3.291,,
32,32 Uracil-Ethyne,3.74,3.69,3.649,3.651,,
33,33 Pyridine-Ethene,1.87,1.8,1.764,1.779,1.79,
34,34 Pentane-Pentane,3.78,3.76,3.734,3.741,,
35,35 Neopentane-Pentane,2.61,2.6,2.59,2.582,,
36,36 Neopentane-Neopentane,1.78,1.76,1.753,1.745,,
37,37 Cyclopentane-Neopentane,2.4,2.4,2.384,2.376,,
38,38 Cyclopentane-Cyclopentane,3.0,2.99,2.971,2.967,,
39,39 Benzene-Cyclopentane,3.58,3.51,3.496,3.488,,
40,40 Benzene-Neopentane,2.9,2.85,2.839,2.824,,
41,41 Uracil-Pentane,4.85,4.81,4.792,4.761,,
42,42 Uracil-Cyclopentane,4.14,4.09,4.094,4.052,,
43,43 Uracil-Neopentane,3.71,3.69,3.678,3.652,,
44,44 Ethene-Pentane,2.01,1.99,1.948,1.973,,
45,45 Ethyne-Pentane,1.75,1.72,1.669,1.696,,
46,46 Peptide-Pentane,4.26,4.26,4.195,4.215,,
47,47 Benzene-Benzene TS,2.88,2.83,2.823,2.801,,
48,48 Pyridine-Pyridine TS,3.83,3.51,3.492,3.472,,
49,49 Benzene-Pyridine TS,3.33,3.29,3.28,3.26,,
50,50 Benzene-Ethyne CH-pi,2.87,2.86,2.822,2.828,2.839,
51,51 Ethyne-Ethyne TS,1.52,1.54,1.506,1.519,1.526,
52,52 Benzene-AcOH OH-pi,4.71,4.73,4.661,4.691,,
53,53 Benzene-AcNH2 NH-pi,4.36,4.4,4.346,4.376,,
54,54 Benzene-Water OH-pi,3.28,3.29,3.212,3.267,,
55,55 Benzene-MeOH OH-pi,4.19,4.17,4.106,4.139,,
56,56 Benzene-MeNH2 NH-pi,3.23,3.2,3.153,3.174,,
57,57 Benzene-Peptide NH-pi,5.28,5.26,5.22,5.222,,
58,58 Pyridine-Pyridine CH-N,4.15,4.24,4.194,4.189,,
59,59 Ethyne-Water CH-O,2.85,2.93,2.883,2.905,2.912,
60,60 Ethyne-AcOH OH-pi,4.87,4.97,4.863,4.917,4.925,
61,61 Pentane-AcOH,2.91,2.91,2.839,2.876,,
62,62 Pentane-AcNH2,3.53,3.53,3.458,3.491,,
63,63 Benzene-AcOH,3.8,3.75,3.715,3.709,,
64,64 Peptide-Ethene,3.0,3.0,2.945,2.967,,
65,65 Pyridine-Ethyne,3.99,4.1,4.065,4.064,,
66,66 MeNH2-Pyridine,3.97,3.97,3.907,3.93,,
