,mol1,mol2,dmc_type,dmc_Jas,ene,err,units,TotTimeSim[au],Pop,Pop-err,Var[au],tau_eff[au],corr-time[au],machine,N_MPI,cost,target_weight,ID,tau[au],name,ref1,delta1,ref2,delta2,mol_Jas,ene1,err1,ene2,err2,Eb,Eberr,tau
0,Water,Water,DMCdla5,Jopt,-21626.4949692732,0.0334886002767683,kcal/mol,1650.0,63598.84778631541,2.110509228230478,0.4911403616465657,0.1849010777460095,0.568933038520305,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17014092,64000.0,1,0.3,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10810.0422178178,0.0229451837032987,,,-6.441504299167718,0.05681031745387156,0.3
1,Water,Water,DMCdla5,Jopt,-21622.3047453497,0.0317587927132865,kcal/mol,1275.0,63631.59604743083,1.8041122552862128,0.5095354845679114,0.1667229300107799,0.4983670755355267,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17305114,64000.0,1,0.25,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10808.051217961,0.0228259058663577,,,-6.233280089265463,0.05561212843512458,0.25
2,Water,Water,DMCdla5,Jopt,-21618.0364821553,0.0372763209737859,kcal/mol,1100.0,63730.11688073394,1.8294858457074905,0.5071432454139019,0.1446601043712985,0.4450593229419646,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17103408,64000.0,1,0.2,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10805.9770610975,0.023093327533983,,,-6.113330621868954,0.05935260071562139,0.2
3,Water,Water,DMCdla5,Jopt,-21614.5259205748,0.032558746400882,kcal/mol,1136.0,63781.4820235896,1.5374643603364195,0.5205610655464583,0.123699534099086,0.3621942601078291,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.1715392142857142,64000.0,1,0.16,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10804.3226206389,0.0211402021659279,,,-5.911649958565249,0.05336388814228361,0.16
4,Water,Water,DMCdla5,Jopt,-21611.9163706069,0.0265412045721399,kcal/mol,1313.0,63836.63533872094,1.2754369381137587,0.505263462599665,0.1057440212796404,0.3174471268384424,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17128538,64000.0,1,0.13,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10803.0222624461,0.0181919303549716,,,-5.9028163762668555,0.045035773117608716,0.13
5,Water,Water,DMCdla5,Jopt,-21609.3203117517,0.0304674666484188,kcal/mol,1050.0,63898.45942307692,1.2466544207980772,0.5237793203127573,0.0856233057413054,0.2491341418471982,linuxpc-intel-slurm-parallel.peta4,128.0,0.28515155,64000.0,1,0.1,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10801.7717341661,0.0204111042464867,,,-5.8078140810685,0.050938386607904076,0.1
6,Water,Water,DMCdla5,Jopt,-21607.6591222194,0.0278475269890223,kcal/mol,1208.0,63934.61776293823,1.039443896516945,0.5153072081722645,0.0708844964528488,0.2509235381885727,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.1716406466666666,64000.0,1,0.08,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10801.0169802621,0.0176778011199763,,,-5.656132356765738,0.04500559264307122,0.08
7,Water,Water,DMCdla5,Jopt,-21606.1983418389,0.025251516594424,kcal/mol,1230.0,63962.84414498598,0.913148117759769,0.5208159799246945,0.0549999527655879,0.2296917487162191,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.1727068699999999,64000.0,1,0.06,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10800.3515169432,0.0167959713571462,,,-5.526278614066541,0.04202448935607395,0.06
8,Water,Water,DMCdla5,Jopt,-21605.5523743362,0.023638827272636,kcal/mol,1275.0,63967.02403162055,0.8201328770086571,0.5259779214717667,0.0466060151015462,0.214870937322898,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.172733692,64000.0,1,0.05,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10800.0420482421,0.0158111619887648,,,-5.499248513566272,0.03948120475068312,0.05
9,Water,Water,DMCdla5,Jopt,-21604.9475659698,0.0249359126384096,kcal/mol,1220.0,63979.30545454546,0.7612306886459523,0.5319565608319604,0.0379019597561377,0.2157251102481764,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.09256769,64000.0,1,0.04,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.7528425277,0.0168557288713182,,,-5.47285157596707,0.04193163629342355,0.04
10,Water,Water,DMCdla5,Jopt,-21604.400930886,0.0231465077786711,kcal/mol,1215.0,63980.99599163472,0.6501401610309862,0.5238612577389523,0.0288828925997329,0.1808629874836937,linuxpc-intel-slurm-parallel.peta4,128.0,0.275160755,64000.0,1,0.03,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.530248367,0.0153508187984059,,,-5.371404813566187,0.0384493351499613,0.03
11,Water,Water,DMCdla5,Jopt,-21604.0962896174,0.0252268663547852,kcal/mol,1010.0,63994.27908,0.5923656994032555,0.5249771289280358,0.019548371889736,0.1866930442069008,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.0947381339999999,64000.0,1,0.02,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.4224072694,0.0177017168451982,,,-5.282445740165713,0.043471805841861326,0.02
12,Water,Water,DMCdla5,Jopt,-21603.9201237714,0.0261183708410063,kcal/mol,1005.0,63980.92201005025,0.4330885395005697,0.5375139474599866,0.009907592704586,0.196763256619075,linuxpc-intel-slurm-parallel.peta4,128.0,0.27328964,64000.0,1,0.01,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.3647183752,0.0170527330896363,,,-5.221657682566729,0.042957561833672955,0.01
13,Water,Water,DMCdla5,Jopt,-21603.9745711407,0.0252596564983912,kcal/mol,1201.5,63994.58279157833,0.2198454567181318,0.5408061717374198,0.0029945123338876,0.178316600930091,linuxpc-intel-slurm-parallel.peta4,960.0,0.07914998975,64000.0,1,0.003,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.4010923498,0.0153341871216281,,,-5.203357102665905,0.03973159228046539,0.003
14,Water,Water,DMCdla5,Jopt,-21604.0342674093,0.0246862587657743,kcal/mol,1000.5,63991.39645835437,0.1415689162837998,0.5312942210873576,0.0009995971965992,0.1680108939402707,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.333377252922078,64000.0,1,0.001,01_Water-Water,01_2,0.030970661566243507,01_2,0.0,Jopt,-10799.4394033307,0.0174777173138116,,,-5.186431409467332,0.042793618471178706,0.001
