,ene,err,name,i,dmc_type,Jas,Jas_mol,delta,tau
0,-2.466740863466839,0.04679625400558658,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.1
1,-2.962954701666604,0.03710025596968402,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.06
2,-3.5996628638677066,0.03275409487981767,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.03
3,-4.285075169867923,0.035724034333971436,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.01
4,-4.515749886064441,0.036483351486213136,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.006
5,-4.64287377666551,0.05189139370230343,01_Water-Water,1,DMCtm5,Jopt,JoptLA,0.030970661566243507,0.003
6,-5.1464190808655985,0.046272984019304735,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.1
7,-5.032377990468376,0.040323805463889785,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.06
8,-4.933831198268308,0.034727090568981246,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.03
9,-4.9626251594672794,0.03647326618023061,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.01
10,-4.993661901466112,0.035908582566167475,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.006
11,-4.989010536264686,0.04659524299548539,01_Water-Water,1,DMCtm5,Jopt,Jopt,0.030970661566243507,0.003
12,-5.280549879364116,0.035481544918411025,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.06
13,-5.135713848467276,0.033624103149278745,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.03
14,-5.129502046565904,0.035334376127184715,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.02
15,-5.040640981766046,0.034797100028514306,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.01
16,-5.084116570666083,0.03451472379861911,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.006
17,-5.049160932267114,0.061368795713525756,01_Water-Water,1,DMCtm5,JoptLA,JoptLA,0.030970661566243507,0.003
18,-7.349973168165889,0.03883967461077361,01_Water-Water,1,DMCtm5,JoptLA,Jopt,0.030970661566243507,0.06
19,-6.469882182867877,0.03554884527777892,01_Water-Water,1,DMCtm5,JoptLA,Jopt,0.030970661566243507,0.03
20,-5.718190971365402,0.03556586407151687,01_Water-Water,1,DMCtm5,JoptLA,Jopt,0.030970661566243507,0.01
21,-5.562028586067754,0.033906600023294306,01_Water-Water,1,DMCtm5,JoptLA,Jopt,0.030970661566243507,0.006
22,-5.39529769186629,0.05696076734709015,01_Water-Water,1,DMCtm5,JoptLA,Jopt,0.030970661566243507,0.003
23,-5.8078140810685,0.050938386607904076,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.1
24,-5.499248513566272,0.03948120475068312,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.05
25,-5.47285157596707,0.04193163629342323,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.04
26,-5.371404813566187,0.03844933514996106,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.03
27,-5.221657682566729,0.042957561833672955,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.01
28,-5.203357102665905,0.03973159228046539,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.003
29,-5.186431409467332,0.042793618471178706,01_Water-Water,1,DMCdla5,Jopt,Jopt,0.030970661566243507,0.001
30,-6.042746575465571,0.04990650958714452,01_Water-Water,1,DMCdla5,Jopt,Jdimer,0.030970661566243507,0.1
31,-5.437692645766219,0.041267029251456436,01_Water-Water,1,DMCdla5,Jopt,Jdimer,0.030970661566243507,0.03
32,-5.249528186166572,0.04375218637244847,01_Water-Water,1,DMCdla5,Jopt,Jdimer,0.030970661566243507,0.01
33,-5.12100300426755,0.04147282691756696,01_Water-Water,1,DMCdla5,Jopt,Jdimer,0.030970661566243507,0.003
34,-5.974716441889541,0.04870041774970864,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.1
35,-5.964233537788459,0.040003184512152776,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.05
36,-5.898508455187766,0.04045722823429192,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.04
37,-5.953108275589329,0.039994621861107915,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.03
38,-5.890482182687265,0.043269370830792395,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.01
39,-5.859280006488916,0.039057214090476106,02_Water-MeOH,2,DMCdla5,Jopt,Jopt,0.026290242189134005,0.003
40,-6.369421782887002,0.047661868902438224,02_Water-MeOH,2,DMCdla5,Jopt,Jdimer,0.026290242189134005,0.1
41,-6.0063181088899,0.041785348268991655,02_Water-MeOH,2,DMCdla5,Jopt,Jdimer,0.026290242189134005,0.03
42,-5.916075970588281,0.04309031620072753,02_Water-MeOH,2,DMCdla5,Jopt,Jdimer,0.026290242189134005,0.01
