,mol,mol_id,dmc_type,dmc_Jas,tau,ene,err,units,TotTimeSim[au],Pop,Pop-err,Var[au],tau_eff[au],corr-time[au],machine,N_MPI,cost,target_weight,tau[au]
0,AcNH2,21_1,DMCdla5,Jopt,0.10,-25292.9921443583,0.0307536309887326,kcal/mol,1050.0,63920.817019230766,1.3154712761750742,0.5961076213072163,0.08884902953994137,0.3431103334672527,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0676169600000005,64000.0,0.1
1,AcNH2,21_1,DMCdla5,Jopt,0.16,-25296.9687161504,0.0320357073686376,kcal/mol,1136.0,63834.08469518261,1.6278691918653803,0.5659925224583192,0.13103252151948788,0.383777826031387,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6881446,64000.0,0.16
2,AcNH2,21_1,DMCdla5,Jopt,0.05,-25290.4389880028,0.0299973622582504,kcal/mol,1275.0,63975.75225296443,0.8834346215650948,0.5849338598028198,0.04745690869375159,0.2896814562104093,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6907915679999999,64000.0,0.05
3,AcNH2,21_1,DMCdla5,Jopt,0.02,-25289.9214698279,0.0356232721212646,kcal/mol,1010.0,63977.9592,0.6393591465753544,0.599023463409137,0.019673416942023028,0.29609990855596174,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.3780921340000001,64000.0,0.02
4,AcNH2,21_1,DMCdla5,Jopt,0.03,-25289.9713744994,0.0314834930284627,kcal/mol,1215.0,63964.995991634714,0.7210601811144244,0.6166911550480881,0.029180580046736782,0.3073690968359111,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0685758499999998,64000.0,0.03
5,AcNH2,21_1,DMCdla5,Jopt,0.04,-25290.159667179,0.0300954091058277,kcal/mol,1220.0,63974.552628099176,0.8293891032392522,0.5918236165500351,0.038443140093494484,0.27601639856900917,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.37927363,64000.0,0.04
6,AcNH2,21_1,DMCdla5,Jopt,0.003,-25290.211133611,0.0298113865371793,kcal/mol,1201.5,63992.27442429614,0.2264317169551177,0.6186569596759108,0.002996175208002912,0.28446489120717844,linuxpc-intel-slurm-parallel.peta4-icelake,152.0,0.3513240815450642,64000.0,0.003
7,AcNH2,21_1,DMCdla5,Jopt,0.13,-25294.9338373671,0.0366630569161796,kcal/mol,1313.0,63879.60490870997,1.390734914141418,0.6044369330603059,0.11089825939762653,0.39673486129381996,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.68874096,64000.0,0.13
8,AcNH2,21_1,DMCdla5,Jopt,0.25,-25303.3922164336,0.0336629494232903,kcal/mol,1275.0,63731.155928853754,1.8802529706894635,0.572698653913835,0.18139125694936659,0.4961971888033879,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.68014622,64000.0,0.25
9,AcNH2,21_1,DMCdla5,Jopt,0.08,-25291.8409753941,0.0332829475886235,kcal/mol,1208.0,63947.98023372287,1.191825141802879,0.6168898372100098,0.0730134537327664,0.3559383350923235,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.3569130333333334,64000.0,0.08
10,AcNH2,21_1,DMCdla5,Jopt,0.01,-25289.97451557,0.0307485893575756,kcal/mol,1005.0,63979.29154773869,0.4519120187578831,0.6066182369407058,0.00993437529599447,0.2565614917892388,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.06612652,64000.0,0.01
11,AcNH2,21_1,DMCdla5,Jopt,0.2,-25299.8397486833,0.0400924782003059,kcal/mol,1100.0,63792.86073394495,1.9963890527764157,0.5863165314735973,0.15515785526130924,0.5179457897219244,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6839829399999999,64000.0,0.2
12,AcNH2,21_1,DMCdla5,Jopt,0.06,-25290.9032433873,0.0310384039975471,kcal/mol,1230.0,63962.09762455122,0.9941541324037835,0.5930150154091938,0.05622178623653521,0.27328736285278665,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.37862152,64000.0,0.06
13,AcNH2,21_1,DMCdla5,Jopt,0.3,-25307.0175734016,0.0362640992243594,kcal/mol,1650.0,63681.136297109406,2.1369364734889125,0.5701947330955633,0.20379160276338712,0.6031662367962626,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.67830438,64000.0,0.3
14,AcNH2,21_1,DMCdla5,Jdimer,0.01,-25289.9372989031,0.0346115493843757,kcal/mol,1005.0,63992.454783919595,0.4601893799390399,0.6298845097203075,0.009934244328164074,0.2727797600315702,linuxpc-intel-slurm-parallel.peta4,96.0,0.7561503539999997,64000.0,0.01
15,AcNH2,21_1,DMCdla5,Jdimer,0.03,-25289.8404503845,0.0315898072885804,kcal/mol,1215.0,63980.14995269631,0.7112620799515303,0.6212320022833329,0.029178825307589255,0.3245452250238968,linuxpc-intel-slurm-parallel.peta4,64.0,1.1439824525,64000.0,0.03
16,AcNH2,21_1,DMCdla5,Jdimer,0.10,-25292.7231528311,0.0400670671418823,kcal/mol,1050.0,63937.71048076923,1.3351647858237312,0.6013425014445716,0.08882495482904543,0.3708868962082395,linuxpc-intel-slurm-parallel.peta4,64.0,1.1216251,64000.0,0.1
