,mol1,mol2,dmc_type,dmc_Jas,tau,ene,err,units,TotTimeSim[au],Pop,Pop-err,Var[au],tau_eff[au],corr-time[au],machine,N_MPI,cost,target_weight,ID,tau[au]
0,Water,Water,DMCtm5,JoptLA,0.10,-21599.485845655,0.0267893546073787,kcal/mol,1050.0,63628.20942307692,1.33290985370179,0.5963515873463652,0.08542461155574686,0.1902801224394427,linuxpc-intel-slurm-parallel.peta4,64.0,0.9221106300000002,64000.0,1,0.1
1,Water,Water,DMCtm5,JoptLA,0.006,-21594.8537505891,0.0209711570675259,kcal/mol,1203.0,63979.908782747334,0.28992449467742687,0.5484351138183677,0.005971623109908103,0.11683421764651994,linuxpc-intel-slurm-parallel.peta4,64.0,0.8979901549295771,64000.0,1,0.006
2,Water,Water,DMCtm5,JoptLA,0.03,-21594.7426612819,0.021171561456522,kcal/mol,1215.0,63898.23420305731,0.6159660200215249,0.5727477237087976,0.028863442750023068,0.13487915165982328,linuxpc-intel-slurm-parallel.peta4,64.0,0.8926558899999998,64000.0,1,0.03
3,Water,Water,DMCtm5,JoptLA,0.02,-21594.5752693962,0.0226847218987678,kcal/mol,1010.0,63929.3937,0.5671370399600449,0.5527554979624135,0.019541264545793746,0.12647912006403628,linuxpc-intel-slurm-parallel.peta4,64.0,0.9163675640000003,64000.0,1,0.02
4,Water,Water,DMCtm5,JoptLA,0.003,-21595.0054299524,0.0214776553290164,kcal/mol,1021.5,63990.79807572531,0.22618087227176734,0.5418812534332736,0.0029944674998214553,0.114309828695407,linuxpc-intel-slurm-parallel.peta4,128.0,0.44938312132701425,64000.0,1,0.003
5,Water,Water,DMCtm5,JoptLA,0.01,-21594.6582797602,0.0204997010358438,kcal/mol,1005.0,63963.003226130655,0.419906435175953,0.5487010891912492,0.009906463218838937,0.1178615099705242,linuxpc-intel-slurm-parallel.peta4,64.0,0.8910228740000001,64000.0,1,0.01
6,Water,Water,DMCtm5,JoptLA,0.06,-21596.2394713064,0.021219867722321,kcal/mol,1230.0,63784.972950376236,0.8539872653484852,0.5719105155506177,0.05491332948268483,0.15361905237480972,linuxpc-intel-slurm-parallel.peta4,64.0,0.9052451549999998,64000.0,1,0.06
7,Water,Water,DMCtm5,Jopt,0.006,-21594.2827292598,0.0203220807026254,kcal/mol,1203.0,63979.62469509588,0.2829172861338716,0.5390955862581005,0.005971571511233485,0.12782263512533665,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.2766345422535211,64000.0,1,0.006
8,Water,Water,DMCtm5,Jopt,0.01,-21593.9027139483,0.0220364743382265,kcal/mol,1005.0,63984.356412060304,0.4145538557690737,0.5402010607761037,0.009906309024553143,0.12593861636699377,linuxpc-intel-slurm-parallel.peta4,64.0,0.883902361,64000.0,1,0.01
9,Water,Water,DMCtm5,Jopt,0.06,-21593.9218761287,0.0238279615026476,kcal/mol,1230.0,63869.46982737422,0.8680894167667188,0.5661351997460365,0.0549099741917497,0.160075932903736,linuxpc-intel-slurm-parallel.peta4,64.0,0.9293857299999998,64000.0,1,0.06
10,Water,Water,DMCtm5,Jopt,0.10,-21596.4265871057,0.0271475050549137,kcal/mol,1050.0,63763.01153846154,1.2642505631145482,0.5840354991761535,0.08541939791483372,0.19996281745391897,linuxpc-intel-slurm-parallel.peta4,64.0,0.9157179700000001,64000.0,1,0.1
11,Water,Water,DMCtm5,Jopt,0.03,-21593.2066102973,0.0197607042716106,kcal/mol,1215.0,63953.91647164268,0.6550746972835493,0.5521204377999678,0.028862212259688515,0.13156360339747852,linuxpc-intel-slurm-parallel.peta4,64.0,0.9022617299999998,64000.0,1,0.03
12,Water,Water,DMCtm5,Jopt,0.003,-21594.5621915885,0.0251216585202138,kcal/mol,1021.5,64000.362500963914,0.2257981088876681,0.5371091245170712,0.0029944573978389175,0.12699417307411345,linuxpc-intel-slurm-parallel.peta4,64.0,0.884065264102564,64000.0,1,0.003
13,Water,Water,DMCdla5,Jopt,0.08,-21607.6591222194,0.0278475269890223,kcal/mol,1208.0,63934.61776293823,1.039443896516945,0.5153072081722645,0.07088449645284885,0.2509235381885727,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17164064666666667,64000.0,1,0.08
14,Water,Water,DMCdla5,Jopt,0.06,-21606.1983418389,0.025251516594424,kcal/mol,1230.0,63962.84414498598,0.913148117759769,0.5208159799246945,0.05499995276558798,0.22969174871621917,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.17270686999999998,64000.0,1,0.06
15,Water,Water,DMCdla5,Jopt,0.01,-21603.9201237714,0.0261183708410063,kcal/mol,1005.0,63980.92201005025,0.43308853950056975,0.5375139474599866,0.009907592704586098,0.196763256619075,linuxpc-intel-slurm-parallel.peta4,128.0,0.27328964000000006,64000.0,1,0.01
16,Water,Water,DMCdla5,Jopt,0.13,-21611.9163706069,0.0265412045721399,kcal/mol,1313.0,63836.63533872094,1.2754369381137587,0.505263462599665,0.10574402127964046,0.3174471268384424,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17128538000000001,64000.0,1,0.13
17,Water,Water,DMCdla5,Jopt,0.25,-21622.3047453497,0.0317587927132865,kcal/mol,1275.0,63631.59604743083,1.8041122552862126,0.5095354845679114,0.16672293001077998,0.4983670755355267,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17305114,64000.0,1,0.25
18,Water,Water,DMCdla5,Jopt,0.003,-21603.9745711407,0.0252596564983912,kcal/mol,1201.5,63994.58279157833,0.2198454567181318,0.5408061717374198,0.0029945123338876835,0.17831660093009108,linuxpc-intel-slurm-parallel.peta4,960.0,0.07914998975000002,64000.0,1,0.003
19,Water,Water,DMCdla5,Jopt,0.2,-21618.0364821553,0.0372763209737859,kcal/mol,1100.0,63730.11688073394,1.8294858457074905,0.5071432454139019,0.14466010437129856,0.44505932294196465,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17103408,64000.0,1,0.2
20,Water,Water,DMCdla5,Jopt,0.3,-21626.4949692732,0.0334886002767683,kcal/mol,1650.0,63598.847786315404,2.110509228230478,0.49114036164656577,0.18490107774600956,0.568933038520305,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17014092,64000.0,1,0.3
21,Water,Water,DMCdla5,Jopt,0.04,-21604.9475659698,0.0249359126384096,kcal/mol,1220.0,63979.30545454546,0.7612306886459523,0.5319565608319604,0.03790195975613773,0.2157251102481764,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.09256769,64000.0,1,0.04
22,Water,Water,DMCdla5,Jopt,0.03,-21604.400930886,0.0231465077786711,kcal/mol,1215.0,63980.995991634714,0.6501401610309862,0.5238612577389523,0.028882892599732948,0.18086298748369378,linuxpc-intel-slurm-parallel.peta4,128.0,0.275160755,64000.0,1,0.03
23,Water,Water,DMCdla5,Jopt,0.02,-21604.0962896174,0.0252268663547852,kcal/mol,1010.0,63994.27908,0.5923656994032555,0.5249771289280358,0.019548371889736044,0.18669304420690083,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.09473813399999999,64000.0,1,0.02
24,Water,Water,DMCdla5,Jopt,0.05,-21605.5523743362,0.023638827272636,kcal/mol,1275.0,63967.02403162055,0.8201328770086571,0.5259779214717667,0.046606015101546244,0.21487093732289805,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17273369200000002,64000.0,1,0.05
25,Water,Water,DMCdla5,Jopt,0.16,-21614.5259205748,0.032558746400882,kcal/mol,1136.0,63781.4820235896,1.5374643603364195,0.5205610655464583,0.12369953409908607,0.3621942601078291,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.17153921428571428,64000.0,1,0.16
26,Water,Water,DMCdla5,Jopt,0.10,-21609.3203117517,0.0304674666484188,kcal/mol,1050.0,63898.45942307692,1.2466544207980772,0.5237793203127573,0.08562330574130549,0.24913414184719823,linuxpc-intel-slurm-parallel.peta4,128.0,0.28515155,64000.0,1,0.1
27,Water,Water,DMCdla5,Jopt,0.001,-21604.0342674093,0.0246862587657743,kcal/mol,1000.5,63991.396458354364,0.14156891628379983,0.5312942210873576,0.0009995971965992537,0.1680108939402707,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.33337725292207804,64000.0,1,0.001
28,Water,MeOH,DMCdla5,Jopt,0.08,-25912.2422352658,0.0307088082559796,kcal/mol,1208.0,63911.503639399,1.1497592971557795,0.6399422981127036,0.07203892090124259,0.272495466738686,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.2957235533333333,64000.0,2,0.08
29,Water,MeOH,DMCdla5,Jopt,0.06,-25910.7732454992,0.0326668989475833,kcal/mol,1230.0,63921.98981950524,0.9957009689612848,0.6625041253996085,0.055658497084814594,0.28433504236846013,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.308622275,64000.0,2,0.06
30,Water,MeOH,DMCdla5,Jopt,0.01,-25908.8623250494,0.0310960256044209,kcal/mol,1005.0,63986.832582914576,0.45717764610270195,0.6665203310087208,0.009921775631755324,0.22364643778037546,linuxpc-intel-slurm-parallel.peta4,128.0,0.48267355700000014,64000.0,2,0.01
31,Water,MeOH,DMCdla5,Jopt,0.13,-25916.8120552256,0.0317305309984109,kcal/mol,1313.0,63836.47051780904,1.4154829593350142,0.6305877795157805,0.10857450202051457,0.3388612823934882,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.29559108,64000.0,2,0.13
32,Water,MeOH,DMCdla5,Jopt,0.25,-25928.6012438096,0.0376616379959239,kcal/mol,1275.0,63613.32628458498,1.97373509656628,0.6252322884744381,0.17497572846761542,0.5216232976079123,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.2911188,64000.0,2,0.25
33,Water,MeOH,DMCdla5,Jopt,0.003,-25909.0171767581,0.0266132489100855,kcal/mol,1201.5,63981.64004723466,0.2316505269551347,0.6725930929567734,0.0029953932803146416,0.22445308292209074,linuxpc-intel-slurm-parallel.peta4-icelake,152.0,0.27854645974999975,64000.0,2,0.003
34,Water,MeOH,DMCdla5,Jopt,0.2,-25923.5516578269,0.0390776488833431,kcal/mol,1100.0,63716.78605504587,2.081527622905281,0.6385539758086567,0.15051033189464608,0.4519328114719343,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.29151212,64000.0,2,0.2
35,Water,MeOH,DMCdla5,Jopt,0.3,-25933.5850171318,0.0383737117513726,kcal/mol,1650.0,63566.85547017929,2.3739012681183875,0.6386044600704286,0.19561740358156157,0.6236024918811888,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.29270586000000004,64000.0,2,0.3
36,Water,MeOH,DMCdla5,Jopt,0.04,-25909.5791646017,0.0292668430723339,kcal/mol,1220.0,63956.31732231405,0.8192708958155198,0.6648273359713125,0.03819199549869231,0.23699945524026436,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.16333314333333335,64000.0,2,0.04
