ID,name,mol1,mol2,Nel,Nelv,atoms
1,01_Water-Water,Water,Water,20,16,"{'H': 4, 'C': 0, 'N': 0, 'O': 2}"
2,02_Water-MeOH,Water,MeOH,28,22,"{'H': 6, 'C': 1, 'N': 0, 'O': 2}"
3,03_Water-MeNH2,Water,MeNH2,28,22,"{'H': 7, 'C': 1, 'N': 1, 'O': 1}"
4,04_Water-Peptide,Water,Peptide,50,38,"{'H': 9, 'C': 3, 'N': 1, 'O': 2}"
5,05_MeOH-MeOH,MeOH,MeOH,36,28,"{'H': 8, 'C': 2, 'N': 0, 'O': 2}"
6,06_MeOH-MeNH2,MeOH,MeNH2,36,28,"{'H': 9, 'C': 2, 'N': 1, 'O': 1}"
7,07_MeOH-Peptide,MeOH,Peptide,58,44,"{'H': 11, 'C': 4, 'N': 1, 'O': 2}"
8,08_MeOH-Water,MeOH,Water,28,22,"{'H': 6, 'C': 1, 'N': 0, 'O': 2}"
9,09_MeNH2-MeOH,MeNH2,MeOH,36,28,"{'H': 9, 'C': 2, 'N': 1, 'O': 1}"
10,10_MeNH2-MeNH2,MeNH2,MeNH2,36,28,"{'H': 10, 'C': 2, 'N': 2, 'O': 0}"
11,11_MeNH2-Peptide,MeNH2,Peptide,58,44,"{'H': 12, 'C': 4, 'N': 2, 'O': 1}"
12,12_MeNH2-Water,MeNH2,Water,28,22,"{'H': 7, 'C': 1, 'N': 1, 'O': 1}"
13,13_Peptide-MeOH,Peptide,MeOH,58,44,"{'H': 11, 'C': 4, 'N': 1, 'O': 2}"
14,14_Peptide-MeNH2,Peptide,MeNH2,58,44,"{'H': 12, 'C': 4, 'N': 2, 'O': 1}"
15,15_Peptide-Peptide,Peptide,Peptide,80,60,"{'H': 14, 'C': 6, 'N': 2, 'O': 2}"
16,16_Peptide-Water,Peptide,Water,50,38,"{'H': 9, 'C': 3, 'N': 1, 'O': 2}"
17,17_Uracil-Uracil_BP,Uracil,Uracil,116,84,"{'H': 8, 'C': 8, 'N': 4, 'O': 4}"
18,18_Water-Pyridine,Water,Pyridine,52,38,"{'H': 7, 'C': 5, 'N': 1, 'O': 1}"
19,19_MeOH-Pyridine,MeOH,Pyridine,60,44,"{'H': 9, 'C': 6, 'N': 1, 'O': 1}"
