System ID,Dimer,Dimer Error,Monomer 1,Monomer 1 Error,Monomer 2,Monomer 2 Error,Binding Energy,Binding Energy Error,Fit type
01_Water-Water,-21603.74,0.02,-10799.41,0.01,-10799.44,0.01,-5.19,0.02,quadratic
02_Water-MeOH,-25908.68,0.02,-10799.4,0.01,-15103.84,0.03,-5.88,0.02,quadratic
03_Water-MeNH2,-22477.7,0.02,-10799.33,0.01,-11671.51,0.02,-7.17,0.02,quadratic
04_Water-Peptide,-40411.79,0.03,-10799.27,0.01,-29604.0,0.03,-8.51,0.05,linear
05_MeOH-MeOH,-30213.27,0.02,-15103.77,0.02,-15103.85,0.03,-6.01,0.02,quadratic
06_MeOH-MeNH2,-26782.61,0.02,-15103.61,0.02,-11671.51,0.02,-7.82,0.03,quadratic
07_MeOH-Peptide,-44715.96,0.03,-15103.68,0.02,-29604.39,0.05,-8.44,0.04,quadratic
08_MeOH-Water,-25908.04,0.02,-15103.79,0.03,-10799.44,0.01,-5.3,0.02,quadratic
09_MeNH2-MeOH,-26778.06,0.03,-11671.49,0.02,-15103.86,0.03,-3.13,0.03,quadratic
10_MeNH2-MeNH2,-23346.98,0.02,-11671.48,0.02,-11671.5,0.02,-4.2,0.02,quadratic
11_MeNH2-Peptide,-41280.81,0.03,-11671.46,0.02,-29604.48,0.05,-5.37,0.03,quadratic
12_MeNH2-Water,-22478.03,0.02,-11671.5,0.02,-10799.32,0.01,-7.53,0.02,quadratic
13_Peptide-MeOH,-44713.98,0.03,-29604.43,0.05,-15103.86,0.02,-6.25,0.04,quadratic
14_Peptide-MeNH2,-41282.87,0.03,-29604.31,0.05,-11671.5,0.02,-7.5,0.03,quadratic
15_Peptide-Peptide,-59216.54,0.04,-29604.22,0.05,-29604.3,0.05,-8.78,0.04,quadratic
16_Peptide-Water,-40408.53,0.03,-29604.33,0.05,-10799.44,0.01,-5.33,0.03,quadratic
17_Uracil-Uracil_BP,-96634.09,0.05,-48308.72,0.05,-48308.84,0.05,-17.74,0.05,quadratic
18_Water-Pyridine,-36711.82,0.03,-10799.34,0.01,-25905.65,0.04,-7.21,0.03,quadratic
19_MeOH-Pyridine,-41016.56,0.04,-15103.62,0.03,-25905.65,0.04,-7.79,0.04,quadratic
20_AcOH-AcOH,-57470.22,0.04,-28724.92,0.03,-28724.92,0.03,-20.26,0.06,linear
21_AcNH2-AcNH2,-50596.77,0.03,-25290.29,0.04,-25290.29,0.04,-16.83,0.04,quadratic
22_AcOH-Uracil,-77053.21,0.04,-28725.19,0.04,-48308.68,0.05,-20.37,0.05,quadratic
23_AcNH2-Uracil,-73617.61,0.04,-25290.23,0.04,-48308.57,0.05,-19.72,0.04,quadratic
24_Benzene-Benzene_pi-pi,-47250.83,0.03,-23624.43,0.05,-23624.43,0.04,-2.28,0.04,quadratic
25_Pyridine-Pyridine_pi-pi,-51814.49,0.04,-25905.47,0.03,-25905.48,0.03,-3.55,0.06,linear
26_Uracil-Uracil_pi-pi,-96626.43,0.03,-48309.07,0.05,-48309.07,0.05,-9.26,0.04,quadratic
27_Benzene-Pyridine_pi-pi,-49532.78,0.04,-23624.27,0.03,-25905.48,0.03,-3.02,0.06,linear
28_Benzene-Uracil_pi-pi,-71938.06,0.04,-23624.42,0.05,-48309.38,0.05,-5.03,0.05,quadratic
29_Pyridine-Uracil_pi-pi,-74220.52,0.05,-25905.64,0.04,-48309.31,0.05,-6.36,0.05,quadratic
30_Benzene-Ethene,-32235.79,0.03,-23624.43,0.05,-8610.44,0.02,-1.14,0.03,quadratic
31_Uracil-Ethene,-56922.33,0.04,-48309.39,0.05,-8610.44,0.02,-3.15,0.04,quadratic
32_Uracil-Ethyne,-56135.26,0.04,-48309.31,0.05,-7823.08,0.02,-3.53,0.04,quadratic
33_Pyridine-Ethene,-34517.4,0.03,-25905.67,0.04,-8610.43,0.03,-1.66,0.03,quadratic
34_Pentane-Pentane,-44696.68,0.03,-22346.68,0.04,-22346.68,0.04,-3.52,0.04,quadratic
